City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
277,Price,US,39.5994,-110.8107,43.41,30,0,6.91,clear sky
278,Gairo,IT,39.8497,9.5047,45.61,89,11,4.16,few clouds
279,Madhupur,IN,24.25,86.65,60.24,44,0,3.62,clear sky
280,Wangqing,CN,43.3218,129.7634,5.81,87,100,3.18,overcast clouds
281,Guilin,CN,25.2819,110.2864,41.11,92,1,4.27,clear sky
282,Dunmore East,IE,52.1514,-6.9861,46.69,82,75,9.22,broken clouds
283,Mgandu,TZ,-5.95,34.1333,62.2,92,100,2.68,light rain
284,Mount Isa,AU,-20.7333,139.5,71.37,100,57,5.75,broken clouds
285,Codrington,AU,-38.2667,141.9667,59.95,90,60,7.2,broken clouds
286,Nabire,ID,-3.3667,135.4833,75.74,92,100,3.8,overcast clouds
287,Altay,CN,47.8667,88.1167,2.68,75,50,8.19,scattered clouds
288,San Luis,AR,-33.295,-66.3356,81.34,30,0,12.28,clear sky
289,Pevek,RU,69.7008,170.3133,-17.28,98,100,9.04,overcast clouds
290,Zhezkazgan,KZ,47.8043,67.7144,28.71,97,100,9.01,overcast clouds
291,Dondo,MZ,-19.6094,34.7431,80.11,83,10,5.7,clear sky
292,Mar Del Plata,AR,-38.0023,-57.5575,69.82,59,0,14.97,light rain
293,Cabo San Lucas,MX,22.8909,-109.9124,83.61,45,75,5.01,broken clouds
294,Vardo,NO,70.3705,31.1107,24.78,68,0,19.57,clear sky
295,Bitung,ID,1.4451,125.1824,72.45,83,50,4.18,scattered clouds
296,Vila Velha,BR,-20.3297,-40.2925,84.15,77,75,16.11,broken clouds
297,Manjacaze,MZ,-24.7117,33.8828,71.28,82,0,6.67,clear sky
298,Hithadhoo,MV,-0.6,73.0833,82.26,76,36,10.0,scattered clouds
299,Steenwijk,NL,52.7875,6.1208,49.14,75,100,10.0,overcast clouds
300,Tongren,CN,27.7172,109.1853,44.47,80,100,2.75,overcast clouds
301,Aqtobe,KZ,50.2797,57.2072,21.29,93,100,15.66,overcast clouds
302,Kananga,CD,-5.8958,22.4178,69.21,96,100,4.7,overcast clouds
303,Qena,EG,26.1615,32.7183,66.31,21,0,8.46,clear sky
304,Bahir Dar,ET,11.5936,37.3908,72.43,37,54,9.4,broken clouds
305,Bima,ID,-8.4667,118.7167,76.21,92,100,1.59,overcast clouds
306,Kiruna,SE,67.8557,20.2251,-3.08,84,100,2.3,overcast clouds
307,Boyolangu,ID,-8.1181,111.8935,74.57,93,100,1.34,light rain
308,The Valley,AI,18.217,-63.0578,80.74,69,20,17.27,few clouds
309,Bonthe,SL,7.5264,-12.505,79.77,79,17,9.22,few clouds
310,Hambantota,LK,6.1241,81.1185,75.96,81,100,12.17,overcast clouds
311,Salekhard,RU,66.53,66.6019,-20.09,100,100,1.57,overcast clouds
312,Abu Dhabi,AE,24.4667,54.3667,66.22,49,20,4.61,few clouds
313,Maldonado,UY,-34.6667,-54.9167,69.19,48,5,18.37,clear sky
314,Alofi,NU,-19.0595,-169.9187,75.09,94,99,2.3,overcast clouds
315,Nanortalik,GL,60.1432,-45.2371,29.39,80,100,8.59,overcast clouds
316,Caboolture,AU,-27.0833,152.95,72.05,95,94,4.34,light rain
317,Chumikan,RU,54.7183,135.315,-12.71,94,98,4.99,overcast clouds
318,Puck,PL,54.7179,18.4084,37.04,70,100,14.38,overcast clouds
319,Chama,CH,47.1821,8.4636,39.42,70,0,2.3,clear sky
320,Mahebourg,MU,-20.4081,57.7,81.25,83,40,10.36,scattered clouds
321,Tabas,IR,33.5959,56.9244,51.19,41,0,8.39,clear sky
322,Namibe,AO,-15.1961,12.1522,75.83,80,100,5.68,overcast clouds
323,Husavik,IS,66.0449,-17.3389,-2.29,80,57,13.11,broken clouds
324,Nioro,GM,13.35,-15.75,87.31,9,24,7.11,few clouds
325,Corinth,GR,37.9407,22.9573,50.76,73,23,4.29,few clouds
326,Kruisfontein,ZA,-34.0033,24.7314,65.84,91,4,7.16,clear sky
327,Mo I Rana,NO,66.3128,14.1428,23.47,100,75,2.3,broken clouds
328,Comodoro Rivadavia,AR,-45.8667,-67.5,91.26,21,20,14.97,few clouds
329,Japura,ID,-0.3167,102.35,73.99,96,100,0.92,light rain
330,Hirara,JP,24.8,125.2833,66.52,85,100,23.33,overcast clouds
331,Perth,AU,-31.9333,115.8333,82.58,56,0,18.41,clear sky
332,Fairbanks,US,64.8378,-147.7164,11.23,82,100,0.0,light snow
333,Padron,ES,42.7388,-8.6606,54.61,73,97,6.93,overcast clouds
334,Ardakan,IR,32.31,54.0175,50.38,40,0,5.73,clear sky
335,Santarem,BR,-2.4431,-54.7083,84.33,84,20,6.91,few clouds
336,Lufilufi,WS,-13.8745,-171.5986,73.18,79,51,9.98,broken clouds
337,Rajsamand,IN,25.0667,73.8833,57.87,33,0,2.39,clear sky
338,Cap Malheureux,MU,-19.9842,57.6142,81.46,78,89,5.01,overcast clouds
339,Guanay,BO,-15.4975,-67.8797,81.43,67,92,1.68,overcast clouds
340,Strezhevoy,RU,60.7333,77.5889,-4.02,97,98,8.63,overcast clouds
341,Hokitika,NZ,-42.7167,170.9667,51.19,72,25,6.06,scattered clouds
342,Kiama,AU,-34.6833,150.8667,67.57,81,100,1.01,overcast clouds
343,Birjand,IR,32.8663,59.2211,43.27,52,0,9.22,clear sky
344,Boguchany,RU,58.3814,97.4531,-19.75,100,87,3.76,overcast clouds
